"Term","Overlap","Adjusted.P.value","Genes","P"
"synaptic vesicle endocytosis (GO:0048488)","6/29",0.00137574294393094,"DNM3;NLGN2;SYT1;SYNJ1;DNAJC6;DNM1","clathrin-dependent endocytosis (GO:0072583);synaptic vesicle recycling (GO:0036465);neurotransmitter transport (GO:0006836);synaptic vesicle transport (GO:0048489)"
"neutrophil degranulation (GO:0043312)","24/479",0.00137574294393094,"PYGB;DYNC1H1;SNAP25;ACTR2;RAB5B;CAB39;GDI2;NDUFC2;SLC2A3;KCNAB2;SCAMP1;EEF2;SYNGR1;PGRMC1;ACTR1B;PKM;VAPA;DNAJC5;PSAP;TIMP2;SPTAN1;ARL8A;ATP6V0A1;CTSB","neutrophil activation involved in immune response (GO:0002283);neutrophil mediated immunity (GO:0002446);glycolytic process through glucose-6-phosphate (GO:0061620);canonical glycolysis (GO:0061621);glucose catabolic process to pyruvate (GO:0061718);Central carbon metabolism in cancer;ficolin-1-rich granule (GO:0101002);Glycolysis and gluconeogenesis;ficolin-1-rich granule lumen (GO:1904813)"
"regulation of microtubule polymerization or depolymerization (GO:0031110)","5/18",0.0014076558306537,"MAP1B;MAP1A;STMN1;MAPT;CAMSAP2","neuron projection morphogenesis (GO:0048812);regulation of microtubule depolymerization (GO:0031114);regulation of supramolecular fiber organization (GO:1902903);axon development (GO:0061564);cell morphogenesis involved in neuron differentiation (GO:0048667)"
"modulation of chemical synaptic transmission (GO:0050804)","9/82",0.0016385316565393,"CHRNB2;APP;STX1B;NLGN2;SYT1;CLSTN3;CLSTN1;MAPK8IP2;SYN1","positive regulation of synaptic transmission (GO:0050806);positive regulation of nervous system development (GO:0051962);regulation of synapse assembly (GO:0051963);positive regulation of cellular component organization (GO:0051130);positive regulation of synapse assembly (GO:0051965);positive regulation of cell communication (GO:0010647)"
"Biosynthesis of unsaturated fatty acids","5/32",0.00309562026261168,"ACOX1;TECR;SCD2;ELOVL6;HACD3","fatty acid elongation (GO:0030497);very long-chain fatty acid biosynthetic process (GO:0042761);very long-chain fatty acid metabolic process (GO:0000038);Biosynthesis of unsaturated fatty acids"
"Thyroid hormone signaling pathway","9/115",0.00320521969322936,"PLCB4;RHEB;RCAN2;AKT1;ATP2A2;ATP1A3;HRAS;ACTB;PFKP","ephrin receptor signaling pathway (GO:0048013);EPH-Ephrin signaling Homo sapiens R-HSA-2682334;FRS2-mediated activation;EPHB-mediated forward signaling Homo sapiens R-HSA-3928662;small GTPase mediated signal transduction (GO:0007264);MEK activation;Ras protein signal transduction (GO:0007265)"
"Endocytotic role of NDK, phosphins and dynamin","4/17",0.00329479268668677,"PPP3CB;SYNJ1;CALM2;DNM1","Calcineurin in effects in keratinocyte differentiation;calcium-dependent protein serine/threonine phosphatase activity (GO:0004723);Nitric oxide signaling pathway"
"mTOR signalling Homo sapiens R-HSA-165159","5/39",0.00534329593383656,"PPM1A;CAB39;YWHAB;RHEB;AKT1","PKB-mediated events Homo sapiens R-HSA-109703;PI3K Cascade Homo sapiens R-HSA-109704;regulation of potassium ion transmembrane transporter activity (GO:1901016);Energy-dependent regulation of mTOR by LKB1-AMPK;regulation of potassium ion transmembrane transport (GO:1901379)"
"Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","8/97",0.00584800280743644,"PPP2CA;MAPK9;PAK1;PRKCE;VDAC3;AKT1;VDAC1;CTSB","MAPK signaling pathway;IGF1 receptor signaling through beta-arrestin;apoptotic process (GO:0006915);Fc gamma receptor-mediated phagocytosis;Myocyte adrenergic pathway;G beta-gamma signaling through PI3K gamma;EGF/EGFR signaling pathway;Estrogen receptor signaling pathway;E-cadherin nascent AJ-like junctions pathway;Insulin signaling pathway;BAD activation and translocation to mitochondria;cAMP cell motility pathway inferred from amoeba model;ERBB2/ERBB3 signaling events"
"Voltage gated Potassium channels Homo sapiens R-HSA-1296072","5/43",0.00777025958561537,"KCNC1;KCNA2;KCNQ2;KCNA6;KCNAB2","Voltage-gated potassium channels;Potassium Channels Homo sapiens R-HSA-1296071;Potassium channels;delayed rectifier potassium channel activity (GO:0005251);dendrite membrane (GO:0032590);monovalent inorganic cation transport (GO:0015672)"
"regulation of synaptic vesicle exocytosis (GO:2000300)","4/17",0.00837829905209799,"NAPB;STX1B;STXBP1;SYN1","regulation of SNARE complex assembly (GO:0035542);regulation of synaptic transmission, GABAergic (GO:0032228);regulation of protein complex assembly (GO:0043254)"
"Phosphoinositides and their downstream targets","4/25",0.0112384945944247,"GSK3A;PRKCE;AKT1;PFKP","regulation of protein catabolic process (GO:0042176);Fas signaling pathway in cardiomyocytes;regulation of protein ubiquitination (GO:0031396);chemical synaptic transmission, postsynaptic (GO:0099565);regulation of postsynaptic membrane potential (GO:0060078);apical dendrite (GO:0097440)"
"coated vesicle (GO:0030135)","6/71",0.0176176978107442,"TNK2;VPS41;AAK1;SCAMP1;AP3B2;VAMP2","clathrin-coated vesicle (GO:0030136);regulation of clathrin-dependent endocytosis (GO:2000369)"
"Citric acid cycle (TCA cycle) Homo sapiens R-HSA-71403","3/19",0.0261764272163209,"CS;OGDH;SDHB",""
"regulation of autophagy of mitochondrion (GO:1903146)","4/27",0.0278207420826853,"GSK3A;ATP13A2;VDAC1;DNM1L","regulation of mitochondrion organization (GO:0010821);multivesicular body membrane (GO:0032585)"
"hydrogen peroxide catabolic process (GO:0042744)","3/14",0.0323151173349602,"PRDX2;GPX3;PRDX1",""
"Neurofascin interactions Homo sapiens R-HSA-447043","2/7",0.0341780235349994,"CNTNAP1;CNTN1","Neurofascin interactions;plasma membrane bounded cell projection morphogenesis (GO:0120039)"
"regulation of axon extension (GO:0030516)","4/34",0.0465169843986248,"OLFM1;PTPRS;MAPT;PLXNA4","regulation of axonogenesis (GO:0050770)"
